x	y
2.851	2.23
0.265	-0.182
0.743	2.116
3.054	3.253
3.373	4.547
2.073	2.559
0.366	0.432
0.533	2.059
1.408	1.504
3.592	3.407
6.875	5.685
1.206	3.662
2.694	3.685
2.671	2.586
6.673	7.854
5.436	3.689
-5.882	-1.651
2.987	3.702
-0.322	-0.524
-0.421	0.861
1.267	1.196
-1.096	2.098
2.042	3.642
-1.625	-0.227
6.7	4.351
-7.178	-2.939
3.611	2.76
7.537	6.216
4.255	2.818
4.527	4.028
-1.914	0.515
-3.728	-1.694
2.392	1.636
5.423	4.222
4.496	4.091
-1.29	0.569
2.528	2.839
2.488	2.258
-1.407	-0.252
-0.881	1.359
-0.66	-0.112
-0.038	1.149
-0.393	1.459
1.753	2.395
-0.12	0.206
0.181	0.885
4.869	4.694
1.582	2.841
7.259	5.963
-3.687	-1.39
1.237	0.887
2.261	3.023
5.882	5.48
2.859	1.56
-4.151	-0.837
-3.118	-0.723
8.188	5.706
3.2	3.299
0.992	1.872
-1.538	1.925
-2.052	-0.238
-3.892	-1.259
-2.161	0.572
4.348	4.323
3.836	5.537
3.279	3.22
-2.185	-0.615
-0.24	1.927
5.821	4.808
1.071	2.199
5.46E-03	1.32
-0.369	0.808
2.191	2.615
2.488	1.046
0.763	3.217
1.249	2.93
2.267	2.744
-1.316	-1.363
0.597	0.563
-3.389	-0.3
1.605	1.262
6.042	6.369
-1.723	1.6
3.359	3.489
0.623	2.88
-2.353	-1.175
3.172	4.131
1.873	1.649
-1.645	0.628
-4.801	-2.488
-1.878	0.194
-2.981	0.125
-0.181	1.147
-2.026	-0.072
-0.782	1.814
3.84	4.175
3.414	3.136
8.24E-04	1.068
-4.394	-0.794
3.024	2.299
-7.12	-3.198
0.27	1.647
-3.09	-0.204
-1.391	0.076
-0.823	1.383
0.268	0.987
1.989	2.126
4.402	5.003
-0.824	-0.37
-0.836	1.232
-2.271	0.403
-0.579	2.642
0.079	2.081
0.557	1.66
-1.929	0.728
0.147	1.979
-0.069	0.415
-2.432	-0.828
0.714	0.545
0.199	1.116
-3.607	-0.397
1.813	2.106
2.243	3.565
-6.792	-1.696
-2.59	0.139
-1.714	-0.086
3.461	3.704
4.19	5.294
-1.405	0.139
0.093	2.617
0.613	1.906
1.537	0.878
0.914	3.13
-0.407	1.406
0.257	2.002
-1.566	0.655
1.922	3.187
-1.543	0.358
-0.499	0.311
1.179	1.715
-0.494	2.489
1.169	0.289
-1.46	0.738
0.858	1.676
0.246	0.337
1.058	2.088
6.358	5.592
0.783	2.714
-0.408	2.573
4.107	4.055
5.174	5.021
-3.4	0.48
4.864	2.804
-2.498	0.87
-3.2	-1.106
-0.547	1.317
0.465	1.294
2.925	1.788
0.378	0.808
-3.726	0.181
0.931	2.325
2.102	2.479
3.342	3.744
5.849	4.981
-0.83	1.03
1.415	1.567
-2.57	0.514
-6.789	-1.627
5.537	4.199
-0.364	2.023
-4.409	-2.116
-3.911	-0.618
1.682	3.398
2.547	3.421
-1.745	-0.275
5.92	6.144
2.785	3.568
4.89	4.946
2.451	3.954
-2.805	0.165
3.979	3.797
-2.511	1.807
0.915	0.808
0.027	1.34
-1.894	0.339
-4.072	-2.19
2.045	2.858
2.931	4.17
0.352	1.846
3.772	4.029
0.845	1.779
-0.11	2.002
-4.978	-2.242
-1.856	1.199
4.243	3.274
0.483	1.552
0.155	3.307
4.362	3.964
1.692	3.34
1.099	1.531
-0.675	1.749
2.237	2.934
-1.013	1.213
-1.91	0.281
3.212	2.65
-3.825	-1.186
-0.359	0.652
-0.748	0.416
0.144	0.793
2.928	3.169
3	3.69
-1.432	0.849
-2.635	0.351
-0.862	0.77
-2.276	-0.913
3.113	4.455
1.235	0.016
2.548	2.262
4.206	3.583
0.887	2.717
2.661	2.451
5.57	3.787
-3.944	0.218
-0.43	2.556
1.657	1.78
0.273	2.356
1.617	1.911
3.023	2.803
1.693	3.24
-0.296	0.291
-0.229	1.75
5.082	3.918
-1.953	-1.369
-0.118	-0.364
-2.669	-0.061
-0.197	1.976
-5.133	-2.455
4.662	4.561
-2.105	0.844
-5.155	-1.542
-2.374	-1.488
2.578	2.026
2.265	3.2
-0.774	2.458
-1.057	1.88
1.451	3.627
-6.647	-2.7
1.678	2.675
-1.685	-0.123
-4.161	-1.134
3.196	4.678
-4.252	-1.096
-3.777	-0.466
7.613	5.208
1.521	1.535
4.667	2.633
1.827	1.895
3.559	3.873
-0.741	1.419
5.575	4.278
-7.618	-2.988
1.792	2.125
-0.059	1.655
2.773	1.94
4.256	3.902
0.229	1.548
4.407	3.988
-4.64	-1.621
7.729	5.196
5.589	3.766
1.217	2.003
1.316	1.373
-3.656	-0.906
-2.756	0.255
0.582	2.914
-0.121	1.391
4.212	2.164
-4.789	-1.71
3.045	3.758
0.194	3.063
0.964	2.479
2.82	2.648
-2.747	-1.492
-0.575	1.239
1.153	2.976
-0.059	1.434
2.267	2.497
-3.96	-1.736
4.343	3.753
-4.65	-0.85
3.492	3.937
-0.634	3.043
5.298	2.344
-1.39	0.789
4.629	2.56
3.128	2.628
4.072	3.296
0.374	3.207
4.484	3.437
0.989	1.947
4.968	4.786
-0.269	2.6
-0.432	0.83
-2.21	0.714
-3.115	0.972
3.53	3.969
1.829	1.899
3.146	3.243
1.891	1.481
1.368	2.75
-8.371	-3.003
-3.943	-0.8
0.583	3.101
-3.854	-0.57
-0.304	-0.107
0.052	0.889
-1.528	0.337
-4.092	-0.466
2.429	4.27
3.047	3.683
1.366	0.876
-3.127	-0.501
0.899	2.652
2.016	3.136
5.364	3.776
1.802	2.741
-0.595	1.074
1.583	3.758
3.488	3.673
2.578	2.794
-3.117	0.243
2.013	3.278
-0.65	0.524
0.11	1.218
1.21	2.731
-2.219	-0.174
0.424	3.464
0.09	1.551
2.773	2.115
2.615	3.685
0.616	1.616
-1.163	1.496
3.949	2.15
-0.572	-0.025
6.248	4.666
-4.085	-1.405
5.582	4.572
8.174	6.595
0.295	1.792
-1.082	0.538
2.752	4.191
1.871	2.452
1.04	3.177
-7.531	-4.34
2.425	2.69
0.432	2.499
3.218	2.749
-4.923	-0.677
-1.237	-2.159
0.673	0.724
0.089	1.617
4.323	4.713
-2.965	0.448
1.164	3.16
-4.105	-0.641
3.915	3.362
2.81	5.753
5.562	3.523
4.54	3.973
3.443	3.498
-1.096	0.364
1.516	1.863
2.795	2.263
1.383	3.156
4.563	3.94
4.387	6.212
-1.863	0.359
0.997	2.696
2.725	1.442
-0.666	0.719
-0.249	1.513
-1.675	-0.656
-4.359	-1.916
0.338	-9.25E-03
1.024	1.224
0.022	1.836
2.158	2.1
2.666	3.354
4.774	4.697
-4.541	-2.725
8.55	6.581
4.061	4.641
0.771	2.653
-0.349	1.052
1.923	2.77
-3.966	-2.546
3.238	3.313
0.968	0.803
-1.506	0.65
-0.471	1.373
-2.468	-1.4
-0.506	1.943
4.552	4.299
0.551	1.887
3.755	2.072
3.69	2.708
-0.591	-0.168
-3.181	0.016
-2.325	0.953
2.306	3.924
-2.264	-0.675
0.086	0.691
-1.505	0.987
-1.577	-0.252
1.305	3.999
1.953	1.077
-0.445	1.156
4.86	5.38
-1.336	-0.806
4.787	3.841
-0.222	0.277
-1.627	0.778
-0.377	0.59
2.62	2.717
0.895	1.864
2.128	2.691
3.141	3.392
2.512	3.143
2.316	2.319
4.153	5.05
-1.472	0.286
1.096	2.524
-1.243	-1.429
-1.318	1.324
-0.973	0.775
-0.763	1.124
-6.496	-2.598
1.687	2.749
0.053	0.322
0.922	1.584
6.279	5.076
-3.521	-1.385
5.95	6.042
1.638	1.707
-2.016	2.037
0.011	0.758
-0.637	0.765
-0.58	2.171
-3.183	-0.26
5.011	4.961
-2.849	-1.795
5.247	4.325
0.781	1.118
-2.835	0.425
-1.263	1.37
-1.045	-0.077
-1.272	0.744
1.378	3.545
-0.438	1.116
-2.861	2.183
-0.976	2.428
-0.597	0.317
2.879	3.781
-1.018	0.833
-0.843	1.855
2.571	2.647
-1.232	0.758
5.588	3.378
0.158	2.819
-1.228	-1.199
0.322	0.782
-3.156	0.367
-2.301	1.413
-3.165	-0.851
4.272	3.728
4.052	3.166
0.102	0.632
0.098	0.421
-2.352	-0.148
0.608	0.427
0.33	2.855
1.459	0.967
5.189	3.879
0.287	1.327
6.167	6.232
3.317	3.545
-3.959	-1.311
6.447	5.639
0.716	1.365
1.065	3.415
-0.612	1.064
-2.219	1.903
0.076	0.765
-1.705	5.84E-05
3.334	4.583
1.34	1.931
1.498	3.025
0.357	0.911
6.916	5.874
4.703	5.438
0.344	2.207
5.949	6.016
4.29	3.262
5.571	4.948
4.254	5.33
2.81	2.545
-0.879	0.983
4.506	5.242
0.521	1.433
2.687	2.164
0.025	1.905
2.32	2.123
-6.35	-1.864
0.947	1.146
-2.462	1.179
-1.158	1.543
0.192	1.043
-2.076	-0.134
2.694	2.288
-1.752	1.016
-3.303	-0.248
1.565	1.941
-2.235	0.297
1.277	2.437
0.851	2.61
4.372	4.585
5.156	3.605
-3.243	-1.32
-1.604	0.201
0.699	3.273
0.669	2.48
2.727	3.694
10.185	7.979
-5.087	-1.884
3.259	3.114
-2.865	-1.094
0.205	2.417
4.706	2.424
-2.048	-0.731
-1.654	0.719
1.476	3.056
-4.411	-1.505
-2.5	-0.183
2.676	0.75
-3.492	0.08
1.693	1.893
-0.566	1.374
-9.274	-3.764
-4.702	-2.407
1.451	2.232
0.084	0.984
-0.883	0.188
1.359	2.174
2.053	3.18
-1.698	1.84
-2.902	-1.183
2.916	3.241
5.365	4.942
-1.462	0.792
4.116	5.176
1.331	2.75
-2.587	0.672
-1.248	1.686
4.093	4.428
5.37	5.761
3.953	3.133
0.417	1.634
-0.331	0.2
-0.352	1.129
-0.241	1.205
-1.629	-0.12
7.913	5.417
-0.616	2.676
-0.793	3.243
-4.738	-2.221
1.936	1.375
-3.244	-0.87
1.819	0.908
8.305	6.062
3.061	3.388
1.946	3.349
5.016	5.932
9.539	7.108
4.015	3.366
3.154	5.719
3.037	2.856
1.312	2.535
-0.266	2.303
5.325	5.431
0.693	0.934
3.652	2.234
5.262	4.654
0.134	1.059
2.236	2.308
0.786	1.77
2.908	3.755
0.786	3.274
0.431	0.999
-1.088	0.951
2.659	4.558
4.785	4.131
1.667	1.968
-3.764	-3.049
0.938	3.2
1.705	2.703
1.595	1.577
1.363	1.489
-2.821	0.24
2.098	2.784
-1.485	0.917
3.742	2.948
1.556	2.118
1.756	2.878
5.649	6.211
-1.415	0.853
3.837	4.424
7.95E-03	1.95
0.419	1.938
-1.868	0.356
4.846	4.37
-1.216	-0.19
-3.089	1.129
1.819	3.417
-0.792	1.501
0.646	2.21
2.581	2.742
2.406	2.822
5.521	5.547
-2.806	0.161
-2.831	-0.876
3.334	4.27
5.124	4.528
5.75	5.804
-0.415	0.599
2.793	4.071
-1.953	0.291
3.318	3.756
-2.324	0.688
-0.859	1.567
-0.134	1.477
-2.542	0.466
-2.387	-0.055
0.776	1.322
-1.053	0.729
-3.143	-0.188
2.803	2.189
1.338	3.382
-2.755	-0.61
2.343	3.848
-0.755	1.373
2.956	2.311
-0.59	-0.545
6.54	4.871
4.888	4.919
-0.381	0.29
-0.865	-0.498
3.582	2.902
0.732	1.198
1.263	2.163
3.021	2.985
4.689	3.645
2.06	2.764
0.496	2.461
-4.41	-2.825
1.731	3.036
-4.471	-1.154
-1.927	1.4
-0.348	1.685
2.394	3.122
-1.159	1.514
-0.716	0.109
4.915	4.192
-0.362	1.862
0.882	1.246
2.418	2.812
-2.512	-0.277
1.786	1.885
6.693	3.832
5.685	5.439
-0.116	1.332
1.033	1.921
1.016	2.586
5.348	3.743
-2.91	2.76E-03
2.61	2.745
-3.886	-2.352
-3.117	0.157
3.756	3.648
0.279	1.609
-3.059	-0.109
4.358	5.009
2.128	3.114
0.536	1.629
-1.238	0.971
-0.594	-0.13
4.313	5.073
4.377	3.897
7.904	6.897
6.03	4.799
4.9	3.558
2.081	0.965
-0.908	1.99
2.694	3.43
4.519	3.439
1.341	3.007
0.692	1.004
-1.544	1.199
-0.747	1.97
3.338	2.756
1.039	1.561
-1.965	-0.397
-2.856	0.446
-1.512	1.292
2.938	2.715
1.643	2.389
-4.95	-0.709
6.02	4.68
-1.995	1.465
0.318	2.981
3.147	3.56
-1.788	-0.514
5.012	3.192
0.747	1.241
6.295	5.711
-1.68	1.87
2.701	3.371
0.647	0.899
-2.604	0.76
2.528	3.818
5.417	6.283
-0.425	0.473
1.208	2.527
1.194	1.61
2.077	2.427
2.908	4.495
3.786	5.257
8.254	4.968
1.047	2.456
-0.177	-0.837
1.524	1.682
2.005	2.272
2.191	2.966
-1.813	-0.562
5.828	5.618
1.428	2.89
0.769	2.038
-2.428	-0.129
-4.742	-1.861
4.593	4.509
-0.997	-0.639
1.253	2.352
4.445	4.386
0.514	2.627
0.593	2.29
-2.481	-2.249
4.928	4.899
0.123	0.651
0.083	0.939
-1.211	0.605
0.808	2.786
6.655	4.313
1.286	2.924
5.371	4.771
1.973	1.633
1.031	3.307
2.09	3.285
-0.69	1.639
-0.389	2.592
5.166	3.983
-0.518	1.337
-4.434	-0.946
2.018	3.445
1.537	3.445
4.246	4.407
0.926	2.437
1.58	2.127
0.539	2.135
4.464	4
-0.37	0.219
4.347	2.66
1.851	1.117
2.966	3.061
-0.875	2.011
3.646	3.658
-0.071	1.038
1.618	1.517
1.548	1.623
0.464	1.818
0.819	0.086
-1.183	0.906
-1.454	0.675
-5.081	-1.358
-5.48E-03	2.247
0.5	-0.41
-4.126	-1.911
0.693	2.635
-0.049	1.044
1.422	3.394
5.061	3.89
0.825	2.082
2.3	2.929
0.482	2.962
-0.774	0.228
-2.329	0.498
2.915	2.964
1.978	2.802
-1.794	1.142
0.05	2.178
2.838	2.816
1.922	1.74
2.381	3.286
-0.566	1.389
2.515	2.163
-2.149	0.893
1.835	2.417
-0.615	0.685
0.157	0.056
1.893	0.824
-1.461	1.108
1.589	3.036
3.118	4.404
-0.733	2.832
4.359	3.527
5.106	3.224
1.847	2.511
8.314	7.835
-1.865	-0.022
2.882	3.561
0.558	2.341
0.458	1.163
2.936	3.935
-1.358	1.165
4.208	4.526
0.871	2.499
2.39	4.836
-1.625	-1.272
0.013	2.229
-2.47	-0.252
-0.032	2.138
